SlotID,Day,Period,StartTime,EndTime
1,Monday,1,09:00 AM,10:00 AM
2,Monday,2,10:00 AM,11:00 AM
3,Monday,3,11:00 AM,12:00 PM
4,Monday,4,01:00 PM,02:00 PM
5,Monday,5,02:00 PM,03:00 PM
6,Monday,6,03:00 PM,04:00 PM
7,Monday,7,04:00 PM,05:00 PM
8,Monday,8,05:00 PM,06:00 PM
9,Tuesday,1,09:00 AM,10:00 AM
10,Tuesday,2,10:00 AM,11:00 AM
11,Tuesday,3,11:00 AM,12:00 PM
12,Tuesday,4,01:00 PM,02:00 PM
13,Tuesday,5,02:00 PM,03:00 PM
14,Tuesday,6,03:00 PM,04:00 PM
15,Tuesday,7,04:00 PM,05:00 PM
16,Tuesday,8,05:00 PM,06:00 PM
17,Wednesday,1,09:00 AM,10:00 AM
18,Wednesday,2,10:00 AM,11:00 AM
19,Wednesday,3,11:00 AM,12:00 PM
20,Wednesday,4,01:00 PM,02:00 PM
21,Wednesday,5,02:00 PM,03:00 PM
22,Wednesday,6,03:00 PM,04:00 PM
23,Wednesday,7,04:00 PM,05:00 PM
24,Wednesday,8,05:00 PM,06:00 PM
25,Thursday,1,09:00 AM,10:00 AM
26,Thursday,2,10:00 AM,11:00 AM
27,Thursday,3,11:00 AM,12:00 PM
28,Thursday,4,01:00 PM,02:00 PM
29,Thursday,5,02:00 PM,03:00 PM
30,Thursday,6,03:00 PM,04:00 PM
31,Thursday,7,04:00 PM,05:00 PM
32,Thursday,8,05:00 PM,06:00 PM
33,Friday,1,09:00 AM,10:00 AM
34,Friday,2,10:00 AM,11:00 AM
35,Friday,3,11:00 AM,12:00 PM
36,Friday,4,01:00 PM,02:00 PM
37,Friday,5,02:00 PM,03:00 PM
38,Friday,6,03:00 PM,04:00 PM
39,Friday,7,04:00 PM,05:00 PM
40,Friday,8,05:00 PM,06:00 PM
