Experiment,Run,Seed,Fitness,FacultySatisfaction,Conflicts,ConstraintViolationScore,ExecutionTimeSeconds,IterationsCompleted
Base TLBO,1,20260715,56.7124,66.25,0,0,3.4268770000016957,50
Base TLBO,2,20260716,56.1508,58.75,0,0,3.0505293999995047,50
Base TLBO,3,20260717,56.266,67.5,0,0,2.731014299999515,50
Base TLBO,4,20260718,56.422,65.0,0,0,2.902305699997669,50
Base TLBO,5,20260719,56.3272,61.25,0,0,2.792746500002977,50
Base TLBO,6,20260720,56.3272,63.75,0,0,2.8766586999990977,50
Base TLBO,7,20260721,56.3896,65.0,0,0,2.8533217000003788,50
Base TLBO,8,20260722,56.2072,63.75,0,0,2.8799398000010115,50
Base TLBO,9,20260723,56.068,62.5,0,0,3.1202316000017163,50
Base TLBO,10,20260724,56.524,62.5,0,0,2.8436943999986397,50
Base TLBO,11,20260725,56.0416,65.0,0,0,2.8473360000025423,50
Base TLBO,12,20260726,56.56,68.75,0,0,2.810331100001349,50
Base TLBO,13,20260727,56.6728,63.75,0,0,3.5665203999997175,50
Base TLBO,14,20260728,56.7532,65.0,0,0,2.868488799998886,50
Base TLBO,15,20260729,56.266,58.75,0,0,2.906630100002076,50
Base TLBO,16,20260730,56.2072,63.75,0,0,2.8232690999975603,50
Base TLBO,17,20260731,56.932,57.5,0,0,3.690580399997998,50
Base TLBO,18,20260732,56.3896,65.0,0,0,2.889253800000006,50
Base TLBO,19,20260733,56.4892,58.75,0,0,2.891130799998791,50
Base TLBO,20,20260734,56.068,68.75,0,0,2.7524612999986857,50
Base TLBO,21,20260735,56.0152,66.25,0,0,2.8092438999992737,50
Base TLBO,22,20260736,56.9812,67.5,0,0,3.9520373000013933,50
Base TLBO,23,20260737,56.2072,65.0,0,0,2.742840500002785,50
Base TLBO,24,20260738,56.3584,67.5,0,0,2.8629843999988225,50
Base TLBO,25,20260739,56.0956,63.75,0,0,2.839459300001181,50
Base TLBO,26,20260740,56.1784,63.75,0,0,2.911368900000525,50
Base TLBO,27,20260741,55.9384,67.5,0,0,2.7381475000001956,50
Base TLBO,28,20260742,55.792,62.5,0,0,2.7764516999995976,50
Base TLBO,29,20260743,56.1784,62.5,0,0,2.7421210000029532,50
Base TLBO,30,20260744,56.0956,67.5,0,0,2.6943329999994603,50
Base TLBO,31,20260745,56.122,52.5,0,0,2.7987968000015826,50
Base TLBO,32,20260746,55.3252,63.75,0,0,2.6727557000012894,50
Base TLBO,33,20260747,56.3896,66.25,0,0,2.7194123000008403,50
Base TLBO,34,20260748,56.524,57.5,0,0,2.6897665000033157,50
Base TLBO,35,20260749,55.138,67.5,0,0,2.7180096000010963,50
Base TLBO,36,20260750,56.296,68.75,0,0,2.6821424000008847,50
Base TLBO,37,20260751,56.9812,70.0,0,0,3.2840039000002434,50
Base TLBO,38,20260752,56.422,55.0,0,0,2.6560484999972687,50
Base TLBO,39,20260753,56.0956,67.5,0,0,2.642316400000709,50
Base TLBO,40,20260754,56.4892,63.75,0,0,2.6994642999998177,50
TLBO + Dynamic Priority,1,20260755,73.0692,62.5,0,0,3.856124900001305,50
TLBO + Dynamic Priority,2,20260756,73.0124,63.75,0,0,3.4482415999991645,50
TLBO + Dynamic Priority,3,20260757,73.314,58.75,0,0,5.45923959999709,50
TLBO + Dynamic Priority,4,20260758,73.2912,66.25,0,0,4.38026549999995,50
TLBO + Dynamic Priority,5,20260759,73.244,66.25,0,0,4.329512500000419,50
TLBO + Dynamic Priority,6,20260760,73.3092,66.25,0,0,4.713307699999859,50
TLBO + Dynamic Priority,7,20260761,73.332,55.0,0,0,4.573025300000154,50
TLBO + Dynamic Priority,8,20260762,72.9364,60.0,0,0,3.828711599999224,50
TLBO + Dynamic Priority,9,20260763,73.046,61.25,0,0,4.078618200001074,50
TLBO + Dynamic Priority,10,20260764,73.3472,63.75,0,0,4.311434700000973,50
TLBO + Dynamic Priority,11,20260765,73.334,66.25,0,0,4.624184199998126,50
TLBO + Dynamic Priority,12,20260766,73.2192,63.75,0,0,3.825997899999493,50
TLBO + Dynamic Priority,13,20260767,73.1396,56.25,0,0,4.064199000000372,50
TLBO + Dynamic Priority,14,20260768,73.196,63.75,0,0,4.358813099999679,50
TLBO + Dynamic Priority,15,20260769,73.148,66.25,0,0,3.8086277000002156,50
TLBO + Dynamic Priority,16,20260770,73.262,68.75,0,0,5.152699800000846,50
TLBO + Dynamic Priority,17,20260771,73.2176,65.0,0,0,4.719263399998454,50
TLBO + Dynamic Priority,18,20260772,73.07,61.25,0,0,4.488920299998426,50
TLBO + Dynamic Priority,19,20260773,73.2172,62.5,0,0,4.389991399999417,50
TLBO + Dynamic Priority,20,20260774,73.0688,63.75,0,0,4.046901200003049,50
TLBO + Dynamic Priority,21,20260775,73.1392,56.25,0,0,6.053392500001792,50
TLBO + Dynamic Priority,22,20260776,73.18,65.0,0,0,4.271841900001164,50
TLBO + Dynamic Priority,23,20260777,73.2192,65.0,0,0,4.429217400000198,50
TLBO + Dynamic Priority,24,20260778,73.2352,58.75,0,0,3.7047423999974853,50
TLBO + Dynamic Priority,25,20260779,73.312,58.75,0,0,4.772053799999412,50
TLBO + Dynamic Priority,26,20260780,73.2492,63.75,0,0,4.693589799997426,50
TLBO + Dynamic Priority,27,20260781,73.3752,58.75,0,0,4.184003399997891,50
TLBO + Dynamic Priority,28,20260782,73.402,62.5,0,0,4.757308899999771,50
TLBO + Dynamic Priority,29,20260783,73.172,56.25,0,0,3.711691199998313,50
TLBO + Dynamic Priority,30,20260784,73.3252,57.5,0,0,4.7710947999985365,50
TLBO + Dynamic Priority,31,20260785,73.3812,67.5,0,0,4.5400284999996074,50
TLBO + Dynamic Priority,32,20260786,73.216,62.5,0,0,5.178648799999792,50
TLBO + Dynamic Priority,33,20260787,72.9504,63.75,0,0,4.032384499998443,50
TLBO + Dynamic Priority,34,20260788,73.424,67.5,0,0,5.6231308999995235,50
TLBO + Dynamic Priority,35,20260789,73.3372,61.25,0,0,4.269377699998586,50
TLBO + Dynamic Priority,36,20260790,73.288,65.0,0,0,4.789398599998094,50
TLBO + Dynamic Priority,37,20260791,73.26,58.75,0,0,4.787297499999113,50
TLBO + Dynamic Priority,38,20260792,73.334,63.75,0,0,4.8019920000006096,50
TLBO + Dynamic Priority,39,20260793,73.1852,62.5,0,0,4.4625522999995155,50
TLBO + Dynamic Priority,40,20260794,73.356,66.25,0,0,4.0754078999998455,50
TLBO + Dynamic Priority + Faculty Satisfaction,1,20260795,93.892,92.5,0,0,5.165064400000119,50
TLBO + Dynamic Priority + Faculty Satisfaction,2,20260796,93.9032,92.5,0,0,4.521543399998336,50
TLBO + Dynamic Priority + Faculty Satisfaction,3,20260797,93.9572,92.5,0,0,4.602274999997462,50
TLBO + Dynamic Priority + Faculty Satisfaction,4,20260798,93.918,92.5,0,0,5.085371599998325,50
TLBO + Dynamic Priority + Faculty Satisfaction,5,20260799,93.848,92.5,0,0,4.159960100001626,50
TLBO + Dynamic Priority + Faculty Satisfaction,6,20260800,93.972,92.5,0,0,4.244351200002711,50
TLBO + Dynamic Priority + Faculty Satisfaction,7,20260801,93.76,92.5,0,0,4.534346299999015,50
TLBO + Dynamic Priority + Faculty Satisfaction,8,20260802,93.7972,92.5,0,0,3.3401745000010123,50
TLBO + Dynamic Priority + Faculty Satisfaction,9,20260803,93.96,92.5,0,0,4.543038799998612,50
TLBO + Dynamic Priority + Faculty Satisfaction,10,20260804,93.5984,92.5,0,0,4.766423499997472,50
TLBO + Dynamic Priority + Faculty Satisfaction,11,20260805,93.932,92.5,0,0,4.653885899999295,50
TLBO + Dynamic Priority + Faculty Satisfaction,12,20260806,93.6188,92.5,0,0,4.100610699999379,50
TLBO + Dynamic Priority + Faculty Satisfaction,13,20260807,93.624,92.5,0,0,4.430115999999543,50
