Experiment,Seed,Run,Iteration,BestFitness,AverageFitness,WorstFitness,Conflicts,ConstraintViolationScore,FacultySatisfaction,TeachingFactor,LearningFactor,MutationRate,IterationTimeSeconds
Complete Adaptive TLBO,20260835,1,1,93.3592,23.3164,0.0,0,0,92.5,1.98,0.545,0.3231,0.3485
Complete Adaptive TLBO,20260835,1,2,93.746,23.4015,0.0,0,0,92.5,1.96,0.54,0.3115,0.3176
Complete Adaptive TLBO,20260835,1,3,93.8432,35.1319,0.0,0,0,92.5,1.94,0.535,0.3001,0.2724
Complete Adaptive TLBO,20260835,1,4,93.8432,23.4608,0.0,0,0,92.5,1.92,0.53,0.2889,0.2787
Complete Adaptive TLBO,20260835,1,5,93.8432,23.4608,0.0,0,0,92.5,1.9,0.525,0.278,0.2789
Complete Adaptive TLBO,20260835,1,6,93.896,35.1978,0.0,0,0,92.5,1.88,0.52,0.2673,0.2817
Complete Adaptive TLBO,20260835,1,7,93.896,46.9348,0.0,0,0,92.5,1.86,0.515,0.2569,0.2323
Complete Adaptive TLBO,20260835,1,8,93.896,35.211,0.0,0,0,92.5,1.84,0.51,0.2467,0.2295
Complete Adaptive TLBO,20260835,1,9,93.926,23.4778,0.0,0,0,92.5,1.82,0.505,0.2367,0.2392
Complete Adaptive TLBO,20260835,1,10,93.926,35.2185,0.0,0,0,92.5,1.8,0.5,0.227,0.2531
Complete Adaptive TLBO,20260835,1,11,93.926,35.2223,0.0,0,0,92.5,1.78,0.495,0.2175,0.217
Complete Adaptive TLBO,20260835,1,12,93.926,35.2223,0.0,0,0,92.5,1.76,0.49,0.2083,0.254
Complete Adaptive TLBO,20260835,1,13,93.926,23.4815,0.0,0,0,92.5,1.74,0.485,0.1993,0.2176
Complete Adaptive TLBO,20260835,1,14,93.926,23.4815,0.0,0,0,92.5,1.72,0.48,0.1905,0.2427
Complete Adaptive TLBO,20260835,1,15,93.926,23.4815,0.0,0,0,92.5,1.7,0.475,0.182,0.2679
Complete Adaptive TLBO,20260835,1,16,93.926,23.4815,0.0,0,0,92.5,1.68,0.47,0.1737,0.2516
Complete Adaptive TLBO,20260835,1,17,93.926,23.4815,0.0,0,0,92.5,1.66,0.465,0.1657,0.2681
Complete Adaptive TLBO,20260835,1,18,93.926,23.4815,0.0,0,0,92.5,1.64,0.46,0.1579,0.2638
Complete Adaptive TLBO,20260835,1,19,93.926,23.4815,0.0,0,0,92.5,1.62,0.455,0.1503,0.2446
Complete Adaptive TLBO,20260835,1,20,93.926,23.4815,0.0,0,0,92.5,1.6,0.45,0.143,0.2462
